Kecamatan,Mangga (ton) 2017,Durian (ton) 2017,Jeruk Besar (ton) 2017,Pisang (ton) 2017,Pepaya (ton) 2017,Salak (ton) 2017,Jeruk Siam (ton) 2017,Mangga (ton) 2018,Durian (ton) 2018,Jeruk Besar (ton) 2018,Pisang (ton) 2018,Pepaya (ton) 2018,Salak (ton) 2018,Jeruk Siam (ton) 2018,Mangga (ton) 2019,Durian (ton) 2019,Jeruk Besar (ton) 2019,Pisang (ton) 2019,Pepaya (ton) 2019,Salak (ton) 2019,Jeruk Siam (ton) 2019,Mangga (ton) 2020,Durian (ton) 2020,Jeruk Besar (ton) 2020,Pisang (ton) 2020,Pepaya (ton) 2020,Salak (ton) 2020,Jeruk Siam (ton) 2020,Mangga (ton) 2021,Durian (ton) 2021,Jeruk Besar (ton) 2021,Pisang (ton) 2021,Pepaya (ton) 2021,Salak (ton) 2021,Jeruk Siam (ton) 2021,Mangga (ton) 2022,Durian (ton) 2022,Jeruk Besar (ton) 2022,Pisang (ton) 2022,Pepaya (ton) 2022,Salak (ton) 2022,Jeruk Siam (ton) 2022,Mangga (ton) 2023,Durian (ton) 2023,Jeruk Besar (ton) 2023,Pisang (ton) 2023,Pepaya (ton) 2023,Salak (ton) 2023,Jeruk Siam (ton) 2023,Mangga (ton) 2024,Durian (ton) 2024,Jeruk Besar (ton) 2024,Pisang (ton) 2024,Pepaya (ton) 2024,Salak (ton) 2024,Jeruk Siam (ton) 2024,Tahun
Pejawaran,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,347,0,40,20,2024
Punggelan,0.1,94.2,,859.5,78.7,1043.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017
Punggelan,,,,,,,,2,300,0,1768,132.6,627,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018
Punggelan,,,,,,,,,,,,,,,10,464.7,0,608,41.8,133.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019
Punggelan,,,,,,,,,,,,,,,,,,,,,,10,230.4,0,530,46.4,240,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020
Punggelan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.3,13,0,3342,61.8,1450,0,,,,,,,,,,,,,,,,,,,,,,2021
Punggelan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,5476.1,0,681.2,12.9,328,0,,,,,,,,,,,,,,,2022
Punggelan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1320,288325,,11700,162,1552,0,,,,,,,,2023
Punggelan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,158.8,980,0,940,19.5,97.2,0,2024
Purwonegoro,1243.9,1967.1,,1115,54.8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017
Purwonegoro,,,,,,,,380.9,1500.9,99.1,1215.6,338.9,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018
Purwonegoro,,,,,,,,,,,,,,,413.1,968.8,72.5,548.7,996.9,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019
Purwonegoro,,,,,,,,,,,,,,,,,,,,,,238,9.1,90.5,1018.8,1571.5,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020
Purwonegoro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,695.7,2309.6,35.3,876.3,2354.8,0,0,,,,,,,,,,,,,,,,,,,,,,2021
Purwonegoro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2460.4,4622.2,78.9,3902.1,1705.7,0,0,,,,,,,,,,,,,,,2022
Purwonegoro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,159,412.86,25.12,56.19,3290.27,0,0,,,,,,,,2023
Purwonegoro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1013.3,347.2,905,9112.01,0,0,2024
Purworejo Klampok,45.6,25,,943.2,46,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017
Purworejo Klampok,,,,,,,,48.9,51.5,0,1247.8,33.4,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018
Purworejo Klampok,,,,,,,,,,,,,,,49.4,43.6,0,1211.1,26.1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019
Purworejo Klampok,,,,,,,,,,,,,,,,,,,,,,71.3,66.2,0,678.8,51.3,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020
Purworejo Klampok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,195.9,0,0,287.8,57.9,0,0,,,,,,,,,,,,,,,,,,,,,,2021
Purworejo Klampok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.5,7.5,0,45.5,53,0,0,,,,,,,,,,,,,,,2022
Purworejo Klampok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.1,3.9,,47.71,7.11,0,0,,,,,,,,2023
Purworejo Klampok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,0.28,0,5.55,4.9,0,0,2024
Rakit,0,0,,251.8,113.6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017
Rakit,,,,,,,,30.3,7.3,11.4,87.3,56.2,0,101.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018
Rakit,,,,,,,,,,,,,,,84.5,30.5,9.9,11,76.6,0,28.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019
Rakit,,,,,,,,,,,,,,,,,,,,,,31.4,96.7,0.1,36.5,54.9,0,44.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020
Rakit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,13.8,0,48.4,15.5,0,129.6,,,,,,,,,,,,,,,,,,,,,,2021
Rakit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1.4,0,31.2,0,0,9.7,,,,,,,,,,,,,,,2022
Rakit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2.69,,18.87,54,0,0,,,,,,,,2023
Rakit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,11.07,0,53.12,81.9,0,0.2,2024
