Kecamatan,Arah (Masuk/Keluar),Jenis,Tahun,Jumlah (Ekor)
Pagentan,pemasukan,Kuda,2021,0
Pagentan,pemasukan,Kambing,2021,0
Pagentan,pengeluaran,Sapi,2021,0
Pagentan,pengeluaran,Kerbau,2021,0
Pagentan,pengeluaran,Kambing,2021,0
Pagentan,pengeluaran,Domba,2021,0
Pagentan,pemasukan,Sapi,2022,0
Pagentan,pemasukan,Sapi Perah,2022,0
Pagentan,pemasukan,Kerbau,2022,0
Pagentan,pemasukan,Kuda,2022,0
Pagentan,pemasukan,Kambing,2022,0
Pagentan,pengeluaran,Sapi,2022,0
Pagentan,pengeluaran,Kerbau,2022,0
Pagentan,pengeluaran,Kambing,2022,0
Pagentan,pengeluaran,Domba,2022,0
Pagentan,pemasukan,Sapi,2023,0
Pagentan,pemasukan,Sapi Perah,2023,0
Pagentan,pemasukan,Kerbau,2023,0
Pagentan,pemasukan,Kuda,2023,0
Pagentan,pemasukan,Kambing,2023,0
Pagentan,pemasukan,Domba,2023,0
Pagentan,pengeluaran,Sapi,2023,0
Pagentan,pengeluaran,Kerbau,2023,0
Pagentan,pengeluaran,Kambing,2023,0
Pagentan,pengeluaran,Domba,2023,0
Pagentan,pemasukan,Sapi,2024,0
Pagentan,pemasukan,Sapi Perah,2024,0
Pagentan,pemasukan,Kerbau,2024,0
Pagentan,pemasukan,Kuda,2024,0
Pagentan,pemasukan,Kambing,2024,0
Pagentan,pengeluaran,Sapi,2024,0
Pagentan,pengeluaran,Kerbau,2024,0
Pagentan,pengeluaran,Kambing,2024,0
Pandanarum,pemasukan,Sapi,2018,0
Pandanarum,pemasukan,Sapi Perah,2018,0
Pandanarum,pemasukan,Kerbau,2018,0
Pandanarum,pemasukan,Kuda,2018,0
Pandanarum,pemasukan,Kambing,2018,0
Pandanarum,pengeluaran,Sapi,2018,0
Pandanarum,pengeluaran,Kerbau,2018,0
Pandanarum,pengeluaran,Kambing,2018,0
Pandanarum,pengeluaran,Domba,2018,0
Pandanarum,pemasukan,Sapi,2020,0
Pandanarum,pemasukan,Sapi Perah,2020,0
Pandanarum,pemasukan,Kerbau,2020,0
Pandanarum,pemasukan,Kuda,2020,0
Pandanarum,pemasukan,Kambing,2020,0
Pandanarum,pengeluaran,Sapi,2020,0
Pandanarum,pengeluaran,Kerbau,2020,0
Pandanarum,pengeluaran,Kambing,2020,0
Pandanarum,pemasukan,Sapi,2021,0
Pandanarum,pemasukan,Sapi Perah,2021,0
Pandanarum,pemasukan,Kerbau,2021,0
Pandanarum,pemasukan,Kuda,2021,0
Pandanarum,pemasukan,Kambing,2021,0
Pandanarum,pengeluaran,Sapi,2021,0
Pandanarum,pengeluaran,Kerbau,2021,0
Pandanarum,pengeluaran,Kambing,2021,0
Pandanarum,pengeluaran,Domba,2021,0
Pandanarum,pemasukan,Sapi,2022,0
Pandanarum,pemasukan,Sapi Perah,2022,0
Pandanarum,pemasukan,Kerbau,2022,0
Pandanarum,pemasukan,Kuda,2022,0
Pandanarum,pemasukan,Kambing,2022,0
Pandanarum,pengeluaran,Sapi,2022,0
Pandanarum,pengeluaran,Kerbau,2022,0
Pandanarum,pengeluaran,Kambing,2022,0
Pandanarum,pengeluaran,Domba,2022,0
Pandanarum,pemasukan,Sapi,2023,0
Pandanarum,pemasukan,Sapi Perah,2023,0
Pandanarum,pemasukan,Kerbau,2023,0
Pandanarum,pemasukan,Kuda,2023,0
Pandanarum,pemasukan,Kambing,2023,0
Pandanarum,pemasukan,Domba,2023,0
Pandanarum,pengeluaran,Sapi,2023,0
Pandanarum,pengeluaran,Kerbau,2023,0
Pandanarum,pengeluaran,Kambing,2023,0
Pandanarum,pengeluaran,Domba,2023,0
Pandanarum,pemasukan,Sapi,2024,0
Pandanarum,pemasukan,Sapi Perah,2024,0
Pandanarum,pemasukan,Kerbau,2024,0
Pandanarum,pemasukan,Kuda,2024,0
Pandanarum,pemasukan,Kambing,2024,0
Pandanarum,pengeluaran,Sapi,2024,0
Pandanarum,pengeluaran,Kerbau,2024,0
Pandanarum,pengeluaran,Kambing,2024,0
Pejawaran,pemasukan,Sapi,2018,0
Pejawaran,pemasukan,Sapi Perah,2018,0
Pejawaran,pemasukan,Kerbau,2018,0
Pejawaran,pemasukan,Kuda,2018,0
Pejawaran,pemasukan,Kambing,2018,0
Pejawaran,pengeluaran,Sapi,2018,0
Pejawaran,pengeluaran,Kerbau,2018,0
Pejawaran,pengeluaran,Kambing,2018,0
Pejawaran,pengeluaran,Domba,2018,0
Pejawaran,pemasukan,Sapi,2020,0
