Kecamatan,Kelompok,Jenis,Tahun,Jumlah (Ekor)
Kalibening,besar,Kerbau,2023,38
Kalibening,besar,Kuda,2023,0
Kalibening,kecil,Kambing,2023,10280
Kalibening,kecil,Domba,2023,3722
Kalibening,kecil,Kelinci,2023,187
Kalibening,unggas,Ayam Kampung,2023,20073
Kalibening,unggas,Ayam Ras Layer,2023,2032
Kalibening,unggas,Ayam Broiler,2023,296347
Kalibening,unggas,Itik Biasa,2023,1095
Kalibening,unggas,Itik Manila,2023,937
Kalibening,besar,Sapi Perah,2024,0
Kalibening,besar,Sapi,2024,1827
Kalibening,besar,Kerbau,2024,21
Kalibening,besar,Kuda,2024,0
Kalibening,kecil,Kambing,2024,14599
Kalibening,kecil,Domba,2024,4974
Kalibening,kecil,Kelinci,2024,795
Kalibening,unggas,Ayam Kampung,2024,8257
Kalibening,unggas,Ayam Ras Layer,2024,1601
Kalibening,unggas,Ayam Broiler,2024,139196
Kalibening,unggas,Itik Biasa,2024,1907
Kalibening,unggas,Itik Manila,2024,462
Karangkobar,besar,Sapi Perah,2018,16
Karangkobar,besar,Sapi,2018,3167
Karangkobar,besar,Kerbau,2018,45
Karangkobar,besar,Kuda,2018,0
Karangkobar,kecil,Kambing,2018,26815
Karangkobar,kecil,Domba,2018,13426
Karangkobar,kecil,Babi,2018,0
Karangkobar,kecil,Kelinci,2018,130
Karangkobar,unggas,Ayam Kampung,2018,26500
Karangkobar,unggas,Ayam Ras Layer,2018,5045
Karangkobar,unggas,Ayam Broiler,2018,332000
Karangkobar,unggas,Itik Biasa,2018,0
Karangkobar,unggas,Itik Manila,2018,529
Karangkobar,besar,Sapi Perah,2019,16
Karangkobar,besar,Sapi,2019,3167
Karangkobar,besar,Kerbau,2019,45
Karangkobar,kecil,Kambing,2019,26815
Karangkobar,kecil,Domba,2019,13426
Karangkobar,kecil,Kelinci,2019,130
Karangkobar,unggas,Ayam Kampung,2019,26500
Karangkobar,unggas,Ayam Ras Layer,2019,5045
Karangkobar,unggas,Ayam Broiler,2019,83000
Karangkobar,unggas,Itik Manila,2019,529
Karangkobar,besar,Sapi Perah,2020,16
Karangkobar,besar,Sapi,2020,3674
Karangkobar,besar,Kerbau,2020,45
Karangkobar,besar,Kuda,2020,0
Karangkobar,kecil,Kambing,2020,27861
Karangkobar,kecil,Domba,2020,14957
Karangkobar,kecil,Babi,2020,0
Karangkobar,kecil,Kelinci,2020,130
Karangkobar,unggas,Ayam Kampung,2020,26995
Karangkobar,unggas,Ayam Ras Layer,2020,5045
Karangkobar,unggas,Ayam Broiler,2020,83000
