Kecamatan,Lokasi (RPH),Jenis,Tahun,Jumlah (Ekor)
Wanadadi,luar_rph,Babi,2020,0
Wanadadi,luar_rph,Kambing,2020,207
Wanadadi,luar_rph,Domba,2020,7
Wanadadi,luar_rph,Sapi,2021,388
Wanadadi,luar_rph,Kerbau,2021,0
Wanadadi,luar_rph,Babi,2021,0
Wanadadi,luar_rph,Kambing,2021,156
Wanadadi,luar_rph,Domba,2021,1
Wanadadi,luar_rph,Sapi,2023,376
Wanadadi,luar_rph,Kerbau,2023,0
Wanadadi,luar_rph,Babi,2023,0
Wanadadi,luar_rph,Kambing,2023,188
Wanadadi,luar_rph,Domba,2023,0
Wanadadi,luar_rph,Sapi,2024,376
Wanadadi,luar_rph,Kerbau,2024,0
Wanadadi,luar_rph,Babi,2024,0
Wanadadi,luar_rph,Kambing,2024,294
Wanadadi,luar_rph,Domba,2024,70
Wanayasa,rph_pemerintah,Sapi,2018,870
Wanayasa,rph_pemerintah,Kambing,2018,0
Wanayasa,rph_pemerintah,Domba,2018,0
Wanayasa,luar_rph,Sapi,2018,243
Wanayasa,luar_rph,Kerbau,2018,0
Wanayasa,luar_rph,Babi,2018,0
Wanayasa,luar_rph,Kambing,2018,159
Wanayasa,luar_rph,Domba,2018,232
Wanayasa,rph_pemerintah,Sapi,2019,838
Wanayasa,rph_pemerintah,Kambing,2019,0
Wanayasa,rph_pemerintah,Domba,2019,0
Wanayasa,rph_pemerintah,Sapi,2020,868
Wanayasa,rph_pemerintah,Kerbau,2020,0
Wanayasa,rph_pemerintah,Kuda,2020,0
Wanayasa,rph_pemerintah,Babi,2020,0
Wanayasa,rph_pemerintah,Kambing,2020,0
Wanayasa,rph_pemerintah,Domba,2020,0
Wanayasa,luar_rph,Sapi,2020,302
Wanayasa,luar_rph,Kerbau,2020,0
Wanayasa,luar_rph,Babi,2020,0
Wanayasa,luar_rph,Kambing,2020,527
Wanayasa,luar_rph,Domba,2020,403
Wanayasa,rph_pemerintah,Sapi,2021,993
Wanayasa,rph_pemerintah,Kerbau,2021,0
Wanayasa,rph_pemerintah,Kuda,2021,0
Wanayasa,rph_pemerintah,Babi,2021,0
Wanayasa,rph_pemerintah,Kambing,2021,0
Wanayasa,rph_pemerintah,Domba,2021,0
Wanayasa,luar_rph,Sapi,2021,331
Wanayasa,luar_rph,Kerbau,2021,0
Wanayasa,luar_rph,Babi,2021,0
Wanayasa,luar_rph,Kambing,2021,260
Wanayasa,luar_rph,Domba,2021,212
Wanayasa,rph_pemerintah,Sapi,2022,1001
Wanayasa,rph_pemerintah,Kerbau,2022,0
Wanayasa,rph_pemerintah,Kuda,2022,0
Wanayasa,rph_pemerintah,Babi,2022,0
Wanayasa,rph_pemerintah,Kambing,2022,0
Wanayasa,rph_pemerintah,Domba,2022,0
Wanayasa,rph_pemerintah,Sapi,2023,1080
Wanayasa,rph_pemerintah,Kerbau,2023,0
Wanayasa,rph_pemerintah,Kuda,2023,0
Wanayasa,rph_pemerintah,Babi,2023,0
Wanayasa,rph_pemerintah,Kambing,2023,0
Wanayasa,rph_pemerintah,Domba,2023,0
Wanayasa,luar_rph,Sapi,2023,346
Wanayasa,luar_rph,Kerbau,2023,0
Wanayasa,luar_rph,Babi,2023,0
Wanayasa,luar_rph,Kambing,2023,166
Wanayasa,luar_rph,Domba,2023,240
Wanayasa,rph_pemerintah,Sapi,2024,1150
Wanayasa,rph_pemerintah,Kerbau,2024,0
Wanayasa,rph_pemerintah,Kuda,2024,0
Wanayasa,rph_pemerintah,Babi,2024,0
Wanayasa,rph_pemerintah,Kambing,2024,0
Wanayasa,rph_pemerintah,Domba,2024,0
Wanayasa,luar_rph,Sapi,2024,363
Wanayasa,luar_rph,Kerbau,2024,0
Wanayasa,luar_rph,Babi,2024,0
Wanayasa,luar_rph,Kambing,2024,261
Wanayasa,luar_rph,Domba,2024,299
