Kecamatan,Tanaman,Tahun,Luas (Ha)
Pagentan,Kopi Arabica,2022,114.26
Pagentan,Kelapa Sawit,2023,0
Pagentan,Kelapa Dalam,2023,47.08
Pagentan,Karet,2023,0
Pagentan,Kopi Robusta,2023,50.29
Pagentan,Kakao,2023,0
Pagentan,Tebu,2023,0
Pagentan,Teh,2023,34.25
Pagentan,Tembakau,2023,127
Pagentan,Kopi Arabica,2023,237.3
Pagentan,Kelapa Sawit,2024,0
Pagentan,Kelapa Dalam,2024,47.08
Pagentan,Karet,2024,0
Pagentan,Kopi Robusta,2024,50.29
Pagentan,Kakao,2024,0
Pagentan,Tebu,2024,0
Pagentan,Teh,2024,34.25
Pagentan,Tembakau,2024,103
Pagentan,Kopi Arabica,2024,240.8
Pandanarum,Kelapa Sawit,2017,0
Pandanarum,Karet,2017,0
Pandanarum,Kakao,2017,0
Pandanarum,Tebu,2017,0
Pandanarum,Teh,2017,160.25
Pandanarum,Tembakau,2017,0
Pandanarum,Kelapa Sawit,2018,0
Pandanarum,Kelapa Dalam,2018,0
Pandanarum,Karet,2018,0
Pandanarum,Kopi Robusta,2018,91.95
Pandanarum,Kakao,2018,0
Pandanarum,Tebu,2018,0
Pandanarum,Teh,2018,160.25
Pandanarum,Tembakau,2018,0
Pandanarum,Kelapa Sawit,2019,0
Pandanarum,Kelapa Dalam,2019,0
Pandanarum,Karet,2019,0
Pandanarum,Kopi Robusta,2019,91.95
Pandanarum,Kakao,2019,0
Pandanarum,Tebu,2019,0
Pandanarum,Teh,2019,236.69
Pandanarum,Tembakau,2019,0
Pandanarum,Kelapa Dalam,2020,0
Pandanarum,Karet,2020,0
Pandanarum,Kopi Robusta,2020,91.95
Pandanarum,Kakao,2020,0
Pandanarum,Tebu,2020,0
Pandanarum,Teh,2020,236.69
Pandanarum,Tembakau,2020,0
Pandanarum,Kelapa Sawit,2021,0
Pandanarum,Kelapa Dalam,2021,0
Pandanarum,Karet,2021,0
Pandanarum,Kopi Robusta,2021,91.95
Pandanarum,Kakao,2021,0
Pandanarum,Tebu,2021,0
Pandanarum,Teh,2021,236.69
Pandanarum,Tembakau,2021,0
Pandanarum,Kopi Arabica,2021,38
Pandanarum,Kelapa Sawit,2022,0
Pandanarum,Kelapa Dalam,2022,0
Pandanarum,Karet,2022,0
Pandanarum,Kopi Robusta,2022,91.95
Pandanarum,Kakao,2022,0
Pandanarum,Tebu,2022,0
Pandanarum,Teh,2022,236.69
Pandanarum,Tembakau,2022,0
Pandanarum,Kopi Arabica,2022,38
Pandanarum,Kelapa Sawit,2023,0
Pandanarum,Kelapa Dalam,2023,0
Pandanarum,Karet,2023,0
Pandanarum,Kopi Robusta,2023,91.95
Pandanarum,Kakao,2023,0
Pandanarum,Tebu,2023,0
Pandanarum,Teh,2023,173.89
Pandanarum,Tembakau,2023,0
Pandanarum,Kopi Arabica,2023,53
Pandanarum,Kelapa Sawit,2024,0
Pandanarum,Kelapa Dalam,2024,0
Pandanarum,Karet,2024,0
Pandanarum,Kopi Robusta,2024,91.95
Pandanarum,Kakao,2024,0
Pandanarum,Tebu,2024,0
Pandanarum,Teh,2024,168.59
Pandanarum,Tembakau,2024,0
Pandanarum,Kopi Arabica,2024,53
Pejawaran,Kelapa Sawit,2017,0
Pejawaran,Karet,2017,0
Pejawaran,Kakao,2017,0
Pejawaran,Tebu,2017,0
Pejawaran,Teh,2017,15.5
Pejawaran,Tembakau,2017,189
Pejawaran,Kelapa Sawit,2018,0
Pejawaran,Kelapa Dalam,2018,0
Pejawaran,Karet,2018,0
Pejawaran,Kopi Robusta,2018,149.2
Pejawaran,Kakao,2018,0
Pejawaran,Tebu,2018,0
Pejawaran,Teh,2018,15.5
Pejawaran,Tembakau,2018,123
Pejawaran,Kelapa Sawit,2019,0
Pejawaran,Kelapa Dalam,2019,0
Pejawaran,Karet,2019,0
Pejawaran,Kopi Robusta,2019,156.2
Pejawaran,Kakao,2019,0
Pejawaran,Tebu,2019,0
Pejawaran,Teh,2019,17.03
Pejawaran,Tembakau,2019,173
Pejawaran,Kelapa Dalam,2020,0
Pejawaran,Karet,2020,0
Pejawaran,Kopi Robusta,2020,156.2
Pejawaran,Kakao,2020,0
Pejawaran,Tebu,2020,0
Pejawaran,Teh,2020,17.03
Pejawaran,Tembakau,2020,347
Pejawaran,Kelapa Sawit,2021,0
Pejawaran,Kelapa Dalam,2021,0
