Kelompok,Komoditas,Tahun,Nilai,Satuan
biofarmaka,Lempuyang,2023,9821,tangkai
biofarmaka,Lidah Buaya,2023,0,tangkai
biofarmaka,Mengkudu,2023,0,tangkai
biofarmaka,Temuireng,2023,0,tangkai
biofarmaka,Temukunci,2023,0,tangkai
biofarmaka,Temulawak,2023,209236,tangkai
biofarmaka,Sambiloto,2023,640,tangkai
sayuran_buah_semusim,Bawang Daun,2024,10175.5,ton
sayuran_buah_semusim,Bawang Merah,2024,0.33,ton
sayuran_buah_semusim,Bawang Putih,2024,0,ton
sayuran_buah_semusim,Bayam,2024,0,ton
sayuran_buah_semusim,Buncis,2024,2938.4,ton
sayuran_buah_semusim,Cabai Besar,2024,14117.82,ton
sayuran_buah_semusim,Cabai Rawit,2024,13717.37,ton
sayuran_buah_semusim,Cabai,2024,0,ton
sayuran_buah_semusim,Jamur,2024,149.34,ton
sayuran_buah_semusim,Kacang Merah,2024,0,ton
sayuran_buah_semusim,Kacang Panjang,2024,434.96,ton
sayuran_buah_semusim,Kangkung,2024,284.95,ton
sayuran_buah_semusim,Kembang Kol,2024,0,ton
sayuran_buah_semusim,Kentang,2024,139726,ton
sayuran_buah_semusim,Ketimun,2024,275.39,ton
sayuran_buah_semusim,Kubis,2024,31549,ton
sayuran_buah_semusim,Labu Siam,2024,2200.2,ton
sayuran_buah_semusim,Lobak,2024,0,ton
sayuran_buah_semusim,Petsai,2024,2916.2,ton
sayuran_buah_semusim,Terung,2024,2836.3,ton
sayuran_buah_semusim,Tomat,2024,19083.61,ton
sayuran_buah_semusim,Wortel,2024,48031,ton
sayuran_buah_semusim,Blewah,2024,30,ton
sayuran_buah_semusim,Melon,2024,288468.62,ton
sayuran_buah_semusim,Buah-buahan,2024,0,ton
buah_sayuran_tahunan,Alpukat,2024,4760.65,ton
buah_sayuran_tahunan,Belimbing,2024,117.97,ton
buah_sayuran_tahunan,Duku,2024,2074.3,ton
buah_sayuran_tahunan,Durian,2024,5412.33,ton
buah_sayuran_tahunan,Jambu Biji,2024,14958.31,ton
buah_sayuran_tahunan,Jambu Air,2024,435.48,ton
buah_sayuran_tahunan,Jeruk Siam,2024,25.08,ton
