Kecamatan,Kelompok,Komoditas,Tahun,Nilai,Satuan
Banjarnegara,biofarmaka,Kencur,2024,0,tangkai
Banjarnegara,biofarmaka,Kunyit,2024,500,tangkai
Batur,sayuran,Bawang Merah,2017,0,ton
Batur,sayuran,Cabai Besar,2017,0,ton
Batur,sayuran,Kentang,2017,79393.4,ton
Batur,sayuran,Kubis,2017,36047.5,ton
Batur,sayuran,Petsai,2017,0,ton
Batur,sayuran,Tomat,2017,0,ton
Batur,sayuran,Bawang Putih,2017,0,ton
Batur,sayuran,Cabai Rawit,2017,0,ton
Batur,buah_tahunan,Mangga,2017,0,ton
Batur,buah_tahunan,Durian,2017,0,ton
Batur,buah_tahunan,Pisang,2017,43.8,ton
Batur,buah_tahunan,Pepaya,2017,24619.8,ton
Batur,buah_tahunan,Salak,2017,0,ton
Batur,sayuran,Bawang Merah,2018,44.4,ton
Batur,sayuran,Cabai Besar,2018,0,ton
Batur,sayuran,Kentang,2018,72574.5,ton
Batur,sayuran,Kubis,2018,47245,ton
Batur,sayuran,Petsai,2018,0,ton
Batur,sayuran,Tomat,2018,0,ton
Batur,sayuran,Bawang Putih,2018,0,ton
Batur,sayuran,Cabai Rawit,2018,0,ton
Batur,buah_tahunan,Mangga,2018,0,ton
Batur,buah_tahunan,Durian,2018,0,ton
Batur,buah_tahunan,Jeruk Besar,2018,0,ton
Batur,buah_tahunan,Pisang,2018,67.2,ton
Batur,buah_tahunan,Pepaya,2018,26249.8,ton
Batur,buah_tahunan,Salak,2018,0,ton
Batur,buah_tahunan,Jeruk Siam,2018,0,ton
Batur,sayuran,Bawang Merah,2019,3.8,ton
Batur,sayuran,Cabai Besar,2019,0,ton
Batur,sayuran,Kentang,2019,65216,ton
Batur,sayuran,Kubis,2019,60134.5,ton
Batur,sayuran,Petsai,2019,0,ton
Batur,sayuran,Tomat,2019,0,ton
Batur,sayuran,Bawang Putih,2019,0,ton
Batur,sayuran,Cabai Rawit,2019,0,ton
Batur,buah_tahunan,Mangga,2019,0,ton
Batur,buah_tahunan,Durian,2019,0,ton
Batur,buah_tahunan,Jeruk Besar,2019,0,ton
Batur,buah_tahunan,Pisang,2019,6.4,ton
Batur,buah_tahunan,Pepaya,2019,18215.9,ton
Batur,buah_tahunan,Salak,2019,0,ton
Batur,buah_tahunan,Jeruk Siam,2019,0,ton
Batur,tanaman_hias,Agloenema,2019,0,tangkai
Batur,tanaman_hias,Krisan,2019,0,tangkai
Batur,tanaman_hias,Mawar,2019,0,tangkai
Batur,tanaman_hias,Soka,2019,0,tangkai
Batur,biofarmaka,Jahe,2019,0,tangkai
Batur,biofarmaka,Laos,2019,0,tangkai
Batur,biofarmaka,Kencur,2019,0,tangkai
Batur,biofarmaka,Kunyit,2019,0,tangkai
Batur,sayuran,Bawang Merah,2020,41.8,ton
Batur,sayuran,Cabai Besar,2020,0,ton
Batur,sayuran,Kentang,2020,73473.4,ton
Batur,sayuran,Kubis,2020,41480,ton
Batur,sayuran,Petsai,2020,0,ton
Batur,sayuran,Tomat,2020,0,ton
Batur,sayuran,Bawang Putih,2020,409.5,ton
Batur,sayuran,Cabai Rawit,2020,0,ton
Batur,buah_tahunan,Mangga,2020,0,ton
Batur,buah_tahunan,Durian,2020,0,ton
Batur,buah_tahunan,Jeruk Besar,2020,0,ton
Batur,buah_tahunan,Pisang,2020,6.9,ton
Batur,buah_tahunan,Pepaya,2020,25784,ton
Batur,buah_tahunan,Salak,2020,0,ton
Batur,buah_tahunan,Jeruk Siam,2020,0,ton
Batur,tanaman_hias,Agloenema,2020,0,tangkai
Batur,tanaman_hias,Krisan,2020,0,tangkai
Batur,tanaman_hias,Mawar,2020,0,tangkai
Batur,tanaman_hias,Soka,2020,0,tangkai
Batur,biofarmaka,Jahe,2020,0,tangkai
Batur,biofarmaka,Laos,2020,0,tangkai
Batur,biofarmaka,Kencur,2020,0,tangkai
Batur,biofarmaka,Kunyit,2020,0,tangkai
Batur,sayuran,Bawang Merah,2021,0,ton
Batur,sayuran,Cabai Besar,2021,0,ton
Batur,sayuran,Kentang,2021,66684,ton
Batur,sayuran,Kubis,2021,25486,ton
Batur,sayuran,Petsai,2021,0,ton
Batur,sayuran,Tomat,2021,0,ton
Batur,sayuran,Bawang Putih,2021,0,ton
Batur,sayuran,Cabai Rawit,2021,0,ton
Batur,buah_tahunan,Mangga,2021,0,ton
Batur,buah_tahunan,Durian,2021,0,ton
Batur,buah_tahunan,Jeruk Besar,2021,0,ton
Batur,buah_tahunan,Pisang,2021,97.1,ton
Batur,buah_tahunan,Pepaya,2021,20197.6,ton
Batur,buah_tahunan,Salak,2021,0,ton
Batur,buah_tahunan,Jeruk Siam,2021,0,ton
Batur,tanaman_hias,Agloenema,2021,0,tangkai
Batur,tanaman_hias,Krisan,2021,0,tangkai
Batur,tanaman_hias,Mawar,2021,0,tangkai
Batur,tanaman_hias,Soka,2021,0,tangkai
Batur,biofarmaka,Jahe,2021,0,tangkai
