Kecamatan,Kelompok,Komoditas,Tahun,Nilai,Satuan
Kalibening,sayuran,Cabai Besar,2018,56,ha
Kalibening,sayuran,Kentang,2018,17,ha
Kalibening,sayuran,Kubis,2018,78,ha
Kalibening,sayuran,Petsai,2018,0,ha
Kalibening,sayuran,Tomat,2018,16,ha
Kalibening,sayuran,Bawang Putih,2018,0,ha
Kalibening,sayuran,Cabai Rawit,2018,67,ha
Kalibening,sayuran,Bawang Merah,2019,0,ha
Kalibening,sayuran,Cabai Besar,2019,44,ha
Kalibening,sayuran,Kentang,2019,48,ha
Kalibening,sayuran,Kubis,2019,75,ha
Kalibening,sayuran,Petsai,2019,26,ha
Kalibening,sayuran,Tomat,2019,8,ha
Kalibening,sayuran,Bawang Putih,2019,0,ha
Kalibening,sayuran,Cabai Rawit,2019,56,ha
Kalibening,tanaman_hias,Agloenema,2019,0,m2
Kalibening,tanaman_hias,Krisan,2019,0,m2
Kalibening,tanaman_hias,Mawar,2019,0,m2
Kalibening,tanaman_hias,Soka,2019,0,m2
Kalibening,biofarmaka,Jahe,2019,700,m2
Kalibening,biofarmaka,Laos,2019,225,m2
Kalibening,biofarmaka,Kencur,2019,400,m2
Kalibening,biofarmaka,Kunyit,2019,800,m2
Kalibening,sayuran,Bawang Merah,2020,0,ha
Kalibening,sayuran,Cabai Besar,2020,117,ha
Kalibening,sayuran,Kentang,2020,28,ha
Kalibening,sayuran,Kubis,2020,119,ha
Kalibening,sayuran,Petsai,2020,40,ha
Kalibening,sayuran,Tomat,2020,18,ha
Kalibening,sayuran,Bawang Putih,2020,28,ha
Kalibening,sayuran,Cabai Rawit,2020,149,ha
Kalibening,tanaman_hias,Agloenema,2020,0,m2
Kalibening,tanaman_hias,Krisan,2020,0,m2
Kalibening,tanaman_hias,Mawar,2020,0,m2
Kalibening,tanaman_hias,Soka,2020,0,m2
Kalibening,biofarmaka,Jahe,2020,0,m2
Kalibening,biofarmaka,Laos,2020,300,m2
Kalibening,biofarmaka,Kencur,2020,550,m2
Kalibening,biofarmaka,Kunyit,2020,900,m2
Kalibening,sayuran,Bawang Merah,2021,0,ha
Kalibening,sayuran,Cabai Besar,2021,131,ha
Kalibening,sayuran,Kentang,2021,37,ha
Kalibening,sayuran,Kubis,2021,117,ha
Kalibening,sayuran,Petsai,2021,35,ha
Kalibening,sayuran,Tomat,2021,26,ha
Kalibening,sayuran,Bawang Putih,2021,0,ha
Kalibening,sayuran,Cabai Rawit,2021,124,ha
Kalibening,tanaman_hias,Agloenema,2021,0,m2
Kalibening,tanaman_hias,Krisan,2021,0,m2
Kalibening,tanaman_hias,Mawar,2021,0,m2
Kalibening,tanaman_hias,Soka,2021,0,m2
Kalibening,biofarmaka,Jahe,2021,1300,m2
Kalibening,biofarmaka,Laos,2021,600,m2
Kalibening,biofarmaka,Kencur,2021,900,m2
Kalibening,biofarmaka,Kunyit,2021,800,m2
Kalibening,sayuran,Bawang Merah,2022,0,ha
Kalibening,sayuran,Cabai Besar,2022,191,ha
Kalibening,sayuran,Kentang,2022,22,ha
Kalibening,sayuran,Kubis,2022,82,ha
Kalibening,sayuran,Petsai,2022,40,ha
Kalibening,sayuran,Tomat,2022,23,ha
Kalibening,sayuran,Bawang Putih,2022,0,ha
Kalibening,sayuran,Cabai Rawit,2022,160,ha
Kalibening,tanaman_hias,Agloenema,2022,0,m2
Kalibening,tanaman_hias,Krisan,2022,0,m2
Kalibening,tanaman_hias,Mawar,2022,0,m2
Kalibening,tanaman_hias,Soka,2022,0,m2
Kalibening,biofarmaka,Jahe,2022,1200,m2
Kalibening,biofarmaka,Laos,2022,550,m2
Kalibening,biofarmaka,Kencur,2022,1200,m2
Kalibening,biofarmaka,Kunyit,2022,1050,m2
Kalibening,sayuran,Cabai Besar,2023,141,ha
Kalibening,sayuran,Kentang,2023,21,ha
Kalibening,sayuran,Kubis,2023,97,ha
Kalibening,sayuran,Petsai,2023,29,ha
Kalibening,sayuran,Tomat,2023,26,ha
Kalibening,sayuran,Bawang Putih,2023,0,ha
Kalibening,sayuran,Cabai Rawit,2023,120,ha
Kalibening,tanaman_hias,Agloenema,2023,0,m2
Kalibening,tanaman_hias,Krisan,2023,0,m2
Kalibening,tanaman_hias,Mawar,2023,0,m2
Kalibening,tanaman_hias,Soka,2023,0,m2
Kalibening,biofarmaka,Jahe,2023,200,m2
Kalibening,biofarmaka,Laos,2023,200,m2
Kalibening,biofarmaka,Kencur,2023,300,m2
Kalibening,biofarmaka,Kunyit,2023,400,m2
Kalibening,sayuran,Bawang Merah,2024,0,ha
Kalibening,sayuran,Cabai Besar,2024,321,ha
