Kecamatan,Tanaman,Tahun,Produksi (Ton)
Mandiraja,Tebu,2019,0
Mandiraja,Teh,2019,0
Mandiraja,Tembakau,2019,0
Mandiraja,Kelapa Sawit,2020,0
Mandiraja,Kelapa Dalam,2020,557.18
Mandiraja,Karet,2020,0
Mandiraja,Kopi Robusta,2020,32.35
Mandiraja,Kakao,2020,0
Mandiraja,Tebu,2020,0
Mandiraja,Teh,2020,0
Mandiraja,Tembakau,2020,0
Mandiraja,Kelapa Sawit,2021,0
Mandiraja,Kelapa Dalam,2021,589.06
Mandiraja,Karet,2021,0
Mandiraja,Kopi Robusta,2021,31.91
Mandiraja,Kakao,2021,0
Mandiraja,Tebu,2021,0
Mandiraja,Teh,2021,0
Mandiraja,Tembakau,2021,0
Mandiraja,Kelapa Sawit,2022,0
Mandiraja,Kelapa Dalam,2022,668
Mandiraja,Karet,2022,0
Mandiraja,Kopi Robusta,2022,32.68
Mandiraja,Kakao,2022,0
Mandiraja,Tebu,2022,0
Mandiraja,Teh,2022,0
Mandiraja,Tembakau,2022,0
Mandiraja,Kelapa Sawit,2023,0
Mandiraja,Kelapa Dalam,2023,668
Mandiraja,Karet,2023,0
Mandiraja,Kopi Robusta,2023,32.68
Mandiraja,Kakao,2023,0
Mandiraja,Tebu,2023,0
Mandiraja,Teh,2023,0
Mandiraja,Tembakau,2023,0
Mandiraja,Kelapa Sawit,2024,0
Mandiraja,Kelapa Dalam,2024,1616.52
Mandiraja,Karet,2024,0
Mandiraja,Kopi Robusta,2024,48.44
Mandiraja,Kakao,2024,0
Mandiraja,Tebu,2024,0
Mandiraja,Teh,2024,0
Mandiraja,Tembakau,2024,0
Pagedongan,Kelapa Sawit,2017,0
Pagedongan,Karet,2017,4.45
Pagedongan,Tebu,2017,16
Pagedongan,Teh,2017,0
Pagedongan,Tembakau,2017,0
Pagedongan,Kelapa Sawit,2018,0
Pagedongan,Kelapa Dalam,2018,492.95
Pagedongan,Karet,2018,0.21
Pagedongan,Kopi Robusta,2018,12.85
Pagedongan,Kakao,2018,0.29
Pagedongan,Tebu,2018,15.5
Pagedongan,Teh,2018,0
Pagedongan,Tembakau,2018,0
Pagedongan,Kelapa Sawit,2019,0
Pagedongan,Kelapa Dalam,2019,559.39
Pagedongan,Karet,2019,0.17
Pagedongan,Kopi Robusta,2019,8.63
Pagedongan,Kakao,2019,0.27
Pagedongan,Tebu,2019,0
Pagedongan,Teh,2019,0
Pagedongan,Tembakau,2019,0
Pagedongan,Kelapa Sawit,2020,0
Pagedongan,Kelapa Dalam,2020,687.02
Pagedongan,Karet,2020,0.14
Pagedongan,Kopi Robusta,2020,52.75
Pagedongan,Kakao,2020,0.29
Pagedongan,Tebu,2020,0
Pagedongan,Teh,2020,0
Pagedongan,Tembakau,2020,0
Pagedongan,Kelapa Sawit,2021,0
Pagedongan,Kelapa Dalam,2021,697.37
Pagedongan,Karet,2021,0.17
Pagedongan,Kopi Robusta,2021,53.85
Pagedongan,Kakao,2021,0.28
Pagedongan,Tebu,2021,0
Pagedongan,Teh,2021,0
Pagedongan,Tembakau,2021,0
Pagedongan,Kelapa Sawit,2022,0
Pagedongan,Kelapa Dalam,2022,717.99
Pagedongan,Karet,2022,0.15
Pagedongan,Kopi Robusta,2022,54.31
Pagedongan,Kakao,2022,0.28
Pagedongan,Tebu,2022,0
Pagedongan,Teh,2022,0
Pagedongan,Tembakau,2022,0
Pagedongan,Kelapa Sawit,2023,0
Pagedongan,Kelapa Dalam,2023,657.57
Pagedongan,Karet,2023,0.17
Pagedongan,Kopi Robusta,2023,49.95
Pagedongan,Kakao,2023,0.36
Pagedongan,Tebu,2023,0
Pagedongan,Teh,2023,0
Pagedongan,Tembakau,2023,0
Pagedongan,Kelapa Sawit,2024,0
Pagedongan,Kelapa Dalam,2024,1317.4
Pagedongan,Karet,2024,333.02
Pagedongan,Kopi Robusta,2024,87.48
Pagedongan,Kakao,2024,0.8
Pagedongan,Tebu,2024,0
Pagedongan,Teh,2024,0
Pagedongan,Tembakau,2024,0
Pagentan,Kelapa Sawit,2017,0
Pagentan,Karet,2017,0
Pagentan,Tebu,2017,0
Pagentan,Teh,2017,18.55
Pagentan,Tembakau,2017,47.84
Pagentan,Kelapa Sawit,2018,0
Pagentan,Kelapa Dalam,2018,51.02
Pagentan,Karet,2018,0
Pagentan,Kopi Robusta,2018,7.88
Pagentan,Kakao,2018,0
Pagentan,Tebu,2018,0
Pagentan,Teh,2018,18.55
Pagentan,Tembakau,2018,47.71
Pagentan,Kelapa Sawit,2019,0
Pagentan,Kelapa Dalam,2019,44.11
Pagentan,Karet,2019,0
Pagentan,Kopi Robusta,2019,7.94
Pagentan,Kakao,2019,0
Pagentan,Tebu,2019,0
Pagentan,Teh,2019,20.74
Pagentan,Tembakau,2019,48.31
Pagentan,Kelapa Sawit,2020,0
Pagentan,Kelapa Dalam,2020,50.65
Pagentan,Karet,2020,0
Pagentan,Kopi Robusta,2020,21.89
Pagentan,Kakao,2020,0
Pagentan,Tebu,2020,0
Pagentan,Teh,2020,21.11
Pagentan,Tembakau,2020,60.28
Pagentan,Kelapa Sawit,2021,0
Pagentan,Kelapa Dalam,2021,52.06
Pagentan,Karet,2021,0
Pagentan,Kopi Robusta,2021,17.83
Pagentan,Kakao,2021,0
Pagentan,Tebu,2021,0
Pagentan,Teh,2021,20.99
Pagentan,Tembakau,2021,49.5
Pagentan,Kelapa Sawit,2022,0
Pagentan,Kelapa Dalam,2022,53.39
Pagentan,Karet,2022,0
Pagentan,Kopi Robusta,2022,16.65
Pagentan,Kakao,2022,0
Pagentan,Tebu,2022,0
Pagentan,Teh,2022,22.11
Pagentan,Tembakau,2022,0
Pagentan,Kelapa Sawit,2023,0
Pagentan,Kelapa Dalam,2023,32.8
Pagentan,Karet,2023,0
Pagentan,Kopi Robusta,2023,0
Pagentan,Kakao,2023,0
Pagentan,Tebu,2023,0
Pagentan,Teh,2023,27.07
Pagentan,Tembakau,2023,95.25
Pagentan,Kelapa Sawit,2024,0
Pagentan,Kelapa Dalam,2024,65.61
Pagentan,Karet,2024,0
Pagentan,Kopi Robusta,2024,55.47
Pagentan,Kakao,2024,0
Pagentan,Tebu,2024,0
Pagentan,Teh,2024,45.36
Pagentan,Tembakau,2024,82.71
Pandanarum,Kelapa Sawit,2017,0
Pandanarum,Karet,2017,0
Pandanarum,Tebu,2017,0
Pandanarum,Teh,2017,258.5
Pandanarum,Tembakau,2017,0
Pandanarum,Kelapa Sawit,2018,0
Pandanarum,Kelapa Dalam,2018,0
Pandanarum,Karet,2018,0
Pandanarum,Kopi Robusta,2018,92.54
Pandanarum,Kakao,2018,0
Pandanarum,Tebu,2018,0
Pandanarum,Teh,2018,258.5
Pandanarum,Tembakau,2018,0
Pandanarum,Kelapa Sawit,2019,0
Pandanarum,Kelapa Dalam,2019,0
Pandanarum,Karet,2019,0
Pandanarum,Kopi Robusta,2019,93.43
Pandanarum,Kakao,2019,0
Pandanarum,Tebu,2019,0
Pandanarum,Teh,2019,219.17
Pandanarum,Tembakau,2019,0
Pandanarum,Kelapa Sawit,2020,0
Pandanarum,Kelapa Dalam,2020,0
Pandanarum,Karet,2020,0
Pandanarum,Kopi Robusta,2020,107.04
Pandanarum,Kakao,2020,0
Pandanarum,Tebu,2020,0
Pandanarum,Teh,2020,233.47
Pandanarum,Tembakau,2020,0
Pandanarum,Kelapa Sawit,2021,0
Pandanarum,Kelapa Dalam,2021,0
Pandanarum,Karet,2021,0
Pandanarum,Kopi Robusta,2021,99.64
Pandanarum,Kakao,2021,0
Pandanarum,Tebu,2021,0
Pandanarum,Teh,2021,233.25
Pandanarum,Tembakau,2021,0
Pandanarum,Kelapa Sawit,2022,0
Pandanarum,Kelapa Dalam,2022,0
Pandanarum,Karet,2022,0
Pandanarum,Kopi Robusta,2022,90.67
Pandanarum,Kakao,2022,0
Pandanarum,Tebu,2022,0
Pandanarum,Teh,2022,252.48
Pandanarum,Tembakau,2022,0
Pandanarum,Kelapa Sawit,2023,0
Pandanarum,Karet,2023,0
Pandanarum,Kopi Robusta,2023,0
Pandanarum,Kakao,2023,0
Pandanarum,Tebu,2023,0
Pandanarum,Teh,2023,189.52
Pandanarum,Tembakau,2023,0
Pandanarum,Kelapa Sawit,2024,0
Pandanarum,Kelapa Dalam,2024,0
Pandanarum,Karet,2024,0
Pandanarum,Kopi Robusta,2024,108.7
Pandanarum,Kakao,2024,0
Pandanarum,Tebu,2024,0
Pandanarum,Teh,2024,317.52
Pandanarum,Tembakau,2024,0
Pejawaran,Kelapa Sawit,2017,0
Pejawaran,Karet,2017,0
Pejawaran,Tebu,2017,0
Pejawaran,Teh,2017,17.2
Pejawaran,Tembakau,2017,109.19
Pejawaran,Kelapa Sawit,2018,0
Pejawaran,Kelapa Dalam,2018,0
Pejawaran,Karet,2018,0
Pejawaran,Kopi Robusta,2018,13.43
Pejawaran,Kakao,2018,0
Pejawaran,Tebu,2018,0
Pejawaran,Teh,2018,17.2
Pejawaran,Tembakau,2018,64.33
Pejawaran,Kelapa Sawit,2019,0
Pejawaran,Kelapa Dalam,2019,0
Pejawaran,Karet,2019,0
Pejawaran,Kopi Robusta,2019,14.16
Pejawaran,Kakao,2019,0
Pejawaran,Tebu,2019,0
Pejawaran,Teh,2019,10.13
Pejawaran,Tembakau,2019,137.38
Pejawaran,Kelapa Sawit,2020,0
